1e+05	1.5915e-06	0.41953
97758	1.6281e-06	0.13976
95565	1.6654e-06	1.0681e-08
93422	1.7036e-06	2.3827e-09
91327	1.7427e-06	4.1805e-10
89279	1.7827e-06	-9.6142e-10
87277	1.8236e-06	-2.6167e-09
85320	1.8654e-06	-5.5265e-09
83407	1.9082e-06	-1.3587e-08
81536	1.9519e-06	-1.8173e-07
79708	1.9967e-06	-0.05614
77921	2.0425e-06	-0.10093
76173	2.0894e-06	-0.12837
74465	2.1373e-06	-0.13979
72795	2.1863e-06	-0.13654
71163	2.2365e-06	-0.11999
69567	2.2878e-06	-0.091493
68007	2.3403e-06	-0.052437
66482	2.394e-06	-0.0041789
64991	2.4489e-06	-2.4663e-08
63534	2.505e-06	-1.0459e-08
62109	2.5625e-06	-6.0143e-09
60716	2.6213e-06	-3.8314e-09
59355	2.6814e-06	-2.5068e-09
58024	2.7429e-06	-1.5838e-09
56723	2.8058e-06	-8.6563e-10
55451	2.8702e-06	-2.4932e-10
54207	2.9361e-06	3.3028e-10
52992	3.0034e-06	9.2382e-10
51803	3.0723e-06	1.5807e-09
50642	3.1428e-06	2.3606e-09
49506	3.2149e-06	3.348e-09
48396	3.2886e-06	4.678e-09
47311	3.3641e-06	6.5908e-09
46250	3.4412e-06	9.5633e-09
45212	3.5202e-06	1.4687e-08
44199	3.6009e-06	2.5071e-08
43207	3.6835e-06	5.4036e-08
42239	3.768e-06	3.3091e-07
41291	3.8544e-06	0.0097959
40365	3.9429e-06	0.017092
39460	4.0333e-06	0.01806
38575	4.1258e-06	0.012888
37710	4.2205e-06	0.0018178
36865	4.3173e-06	8.8712e-08
36038	4.4163e-06	3.5213e-08
35230	4.5176e-06	1.9855e-08
34440	4.6212e-06	1.2877e-08
33668	4.7273e-06	9.0041e-09
32913	4.8357e-06	6.5862e-09
32174	4.9466e-06	4.9503e-09
31453	5.0601e-06	3.774e-09
30748	5.1762e-06	2.8846e-09
30058	5.2949e-06	2.1818e-09
29384	5.4164e-06	1.6032e-09
28725	5.5406e-06	1.1074e-09
28081	5.6677e-06	6.6553e-10
27451	5.7977e-06	2.5597e-10
26836	5.9307e-06	-1.3872e-10
26234	6.0668e-06	-5.338e-10
25646	6.2059e-06	-9.4392e-10
25071	6.3483e-06	-1.3845e-09
24508	6.4939e-06	-1.8732e-09
23959	6.6429e-06	-2.4318e-09
23422	6.7952e-06	-3.0888e-09
22896	6.9511e-06	-3.8832e-09
22383	7.1106e-06	-4.8713e-09
21881	7.2737e-06	-6.1384e-09
21390	7.4405e-06	-7.8206e-09
20911	7.6112e-06	-1.015e-08
20442	7.7858e-06	-1.3558e-08
19983	7.9644e-06	-1.8943e-08
19535	8.1471e-06	-2.8546e-08
19097	8.334e-06	-4.9878e-08
18669	8.5252e-06	-1.3328e-07
18250	8.7207e-06	-0.0039655
17841	8.9208e-06	-0.015572
17441	9.1254e-06	-0.02501
17050	9.3347e-06	-0.03243
16667	9.5489e-06	-0.037991
16294	9.7679e-06	-0.041862
15928	9.992e-06	-0.044213
15571	1.0221e-05	-0.045222
15222	1.0456e-05	-0.045062
14881	1.0695e-05	-0.043907
14547	1.0941e-05	-0.041925
14221	1.1192e-05	-0.039281
13902	1.1449e-05	-0.036129
13590	1.1711e-05	-0.032617
13285	1.198e-05	-0.02888
12987	1.2255e-05	-0.025043
12696	1.2536e-05	-0.021218
12411	1.2823e-05	-0.017505
12133	1.3117e-05	-0.01399
11861	1.3418e-05	-0.010745
11595	1.3726e-05	-0.0078299
11335	1.4041e-05	-0.0052889
11081	1.4363e-05	-0.0031547
10832	1.4693e-05	-0.0014473
10589	1.503e-05	-0.00017879
10352	1.5374e-05	-1.9588e-06
10120	1.5727e-05	-1.183e-06
9892.9	1.6088e-05	-1.1527e-06
9671.1	1.6457e-05	-1.6628e-06
9454.2	1.6834e-05	-1.2994e-05
9242.2	1.722e-05	-0.00083617
9034.9	1.7616e-05	-0.0020275
8832.3	1.802e-05	-0.0034093
8634.3	1.8433e-05	-0.0049298
8440.6	1.8856e-05	-0.0065369
8251.4	1.9288e-05	-0.0081793
8066.3	1.9731e-05	-0.0098071
7885.4	2.0183e-05	-0.011373
7708.6	2.0646e-05	-0.012834
7535.8	2.112e-05	-0.01415
7366.8	2.1604e-05	-0.015288
7201.6	2.21e-05	-0.016217
7040.1	2.2607e-05	-0.016916
6882.2	2.3126e-05	-0.017368
6727.9	2.3656e-05	-0.017562
6577	2.4199e-05	-0.017494
6429.5	2.4754e-05	-0.017168
6285.3	2.5322e-05	-0.01659
6144.4	2.5902e-05	-0.015776
6006.6	2.6497e-05	-0.014744
5871.9	2.7104e-05	-0.013519
5740.2	2.7726e-05	-0.01213
5611.5	2.8362e-05	-0.010608
5485.7	2.9013e-05	-0.0089871
5362.7	2.9678e-05	-0.0073046
5242.4	3.0359e-05	-0.0055979
5124.8	3.1056e-05	-0.0039051
5009.9	3.1768e-05	-0.0022637
4897.6	3.2497e-05	-0.00071081
4787.8	3.3242e-05	-1.7887e-06
4680.4	3.4005e-05	-6.4472e-07
4575.4	3.4785e-05	-4.2035e-07
4472.8	3.5583e-05	-3.2788e-07
4372.5	3.6399e-05	-2.8152e-07
4274.5	3.7234e-05	-2.5807e-07
4178.6	3.8088e-05	-2.493e-07
4084.9	3.8962e-05	-2.5263e-07
