99999.97	-0.0296	0.237
79432.8	-0.0663	0.278
63095.71	-0.111	0.319
50118.7	-0.165	0.359
39810.7	-0.226	0.397
31622.76	-0.295	0.433
25118.85	-0.374	0.464
19952.61	-0.46	0.489
15848.92	-0.554	0.505
12589.25	-0.651	0.509
9999.994	-0.749	0.5
7943.277	-0.843	0.48
6309.569	-0.929	0.448
5011.869	-1	0.409
3981.069	-1.07	0.366
3162.275	-1.13	0.321
2511.885	-1.17	0.276
1995.261	-1.21	0.232
1584.892	-1.25	0.188
1258.924	-1.27	0.144
999.9991	-1.3	0.0969
794.3275	-1.32	0.0451
630.9567	-1.34	-0.014
501.1867	-1.35	-0.0821
398.1068	-1.34	-0.159
316.2274	-1.32	-0.244
251.1884	-1.27	-0.332
199.526	-1.2	-0.419
158.4891	-1.11	-0.497
125.8924	-1	-0.56
99.99988	-0.874	-0.602
79.43272	-0.74	-0.619
63.09565	-0.606	-0.61
50.11866	-0.48	-0.578
39.81066	-0.372	-0.532
31.62273	-0.282	-0.474
25.11883	-0.21	-0.412
19.95259	-0.155	-0.351
15.84891	-0.115	-0.295
12.58923	-0.0858	-0.246
9.99998	-0.0645	-0.203
7.94327	-0.051	-0.166
6.30956	-0.0398	-0.136
5.01186	-0.0315	-0.111
3.98107	-0.0253	-0.0908
3.16227	-0.0209	-0.0743
2.51188	-0.0175	-0.0606
1.99526	-0.0149	-0.0496
1.58489	-0.0128	-0.0406
1.25892	-0.0113	-0.0332
1	-0.01	-0.0272
0.79433	-0.00896	-0.0223
0.63096	-0.00805	-0.0183
0.50119	-0.00724	-0.015
0.39811	-0.00658	-0.0124
0.31623	-0.00603	-0.0102
0.25119	-0.00557	-0.00843
0.19953	-0.00517	-0.007
0.15849	-0.00481	-0.00576
0.12589	-0.00452	-0.00481
0.1	-0.00422	-0.00396
0.07943	-0.00398	-0.00329
0.0631	-0.00371	-0.0027
0.05012	-0.00345	-0.00222
0.05	-0.00342	-0.00223
