1e+05	-0.0242	0.231	-0.021142	0.21211
79433	-0.0589	0.272	-0.054158	0.26155
63096	-0.102	0.314	-0.09973	0.309
50119	-0.153	0.355	-0.15465	0.35194
39811	-0.213	0.395	-0.21599	0.39088
31623	-0.281	0.434	-0.28335	0.42759
25119	-0.358	0.468	-0.3585	0.46237
19953	-0.444	0.497	-0.44323	0.49283
15849	-0.537	0.518	-0.53707	0.51481
12589	-0.636	0.527	-0.63669	0.52462
10000	-0.736	0.524	-0.73705	0.52082
7943.3	-0.832	0.509	-0.83332	0.50452
6309.6	-0.923	0.483	-0.92208	0.4784
5011.9	-1	0.449	-1.0015	0.44569
3981.1	-1.07	0.412	-1.0711	0.40942
3162.3	-1.13	0.373	-1.1314	0.37206
2511.9	-1.18	0.336	-1.1833	0.33537
1995.3	-1.23	0.301	-1.2284	0.30053
1584.9	-1.27	0.268	-1.2681	0.2681
1258.9	-1.3	0.238	-1.3042	0.23784
1000	-1.34	0.209	-1.3381	0.20857
794.33	-1.37	0.18	-1.3703	0.17858
630.96	-1.4	0.148	-1.4006	0.14616
501.19	-1.43	0.112	-1.428	0.11002
398.11	-1.45	0.0705	-1.4517	0.069168
316.23	-1.47	0.0229	-1.4706	0.022602
251.19	-1.48	-0.0312	-1.4831	-0.030739
199.53	-1.49	-0.0922	-1.4872	-0.091618
158.49	-1.48	-0.16	-1.4801	-0.1601
125.89	-1.46	-0.234	-1.4587	-0.23531
100	-1.42	-0.314	-1.42	-0.31517
79.433	-1.36	-0.394	-1.3613	-0.39617
63.096	-1.28	-0.472	-1.281	-0.47327
50.119	-1.18	-0.541	-1.1796	-0.54025
39.811	-1.06	-0.591	-1.0601	-0.59062
31.623	-0.928	-0.619	-0.92824	-0.61889
25.119	-0.792	-0.622	-0.79235	-0.62203
19.953	-0.662	-0.601	-0.66141	-0.6005
15.849	-0.544	-0.558	-0.54342	-0.55842
12.589	-0.443	-0.502	-0.44354	-0.50236
10	-0.364	-0.439	-0.36352	-0.43956
7.9433	-0.303	-0.376	-0.3022	-0.37621
6.3096	-0.257	-0.316	-0.25678	-0.31657
5.0119	-0.224	-0.261	-0.22393	-0.26302
3.9811	-0.201	-0.215	-0.20055	-0.2165
3.1623	-0.184	-0.175	-0.18406	-0.17697
2.5119	-0.172	-0.143	-0.17248	-0.1439
1.9953	-0.164	-0.116	-0.16438	-0.1165
1.5849	-0.159	-0.0932	-0.15873	-0.093977
1.2589	-0.155	-0.0748	-0.15483	-0.075575
1	-0.152	-0.06	-0.15213	-0.060632
0.79433	-0.15	-0.0478	-0.15023	-0.048551
0.63096	-0.149	-0.0378	-0.14884	-0.038788
0.50119	-0.147	-0.0298	-0.14775	-0.030846
0.39811	-0.147	-0.0229	-0.14687	-0.024276
0.31623	-0.147	-0.0173	-0.14619	-0.01869
0.25119	-0.146	-0.0128	-0.14581	-0.013808
0.19953	-0.145	-0.00881	-0.14587	-0.009507
0.15849	-0.146	-0.0058	-0.14648	-0.0058269
0.12589	-0.146	-0.00293	-0.14757	-0.002898
