1e+05	-0.0275	0.233	-0.023838	0.21598
79433	-0.0633	0.273	-0.058567	0.26511
63096	-0.107	0.315	-0.10568	0.31143
50119	-0.159	0.355	-0.16153	0.35268
39811	-0.22	0.393	-0.22319	0.38989
31623	-0.288	0.43	-0.29062	0.42503
25119	-0.365	0.462	-0.36596	0.45812
19953	-0.451	0.489	-0.45083	0.4863
15849	-0.544	0.507	-0.54424	0.50527
12589	-0.641	0.513	-0.64241	0.51177
10000	-0.738	0.506	-0.74044	0.50496
7943.3	-0.833	0.488	-0.83404	0.48612
6309.6	-0.92	0.459	-0.92013	0.45761
5011.9	-0.997	0.423	-0.99683	0.42229
3981.1	-1.06	0.383	-1.0634	0.38315
3162.3	-1.12	0.342	-1.1205	0.34278
2511.9	-1.17	0.302	-1.1693	0.30288
1995.3	-1.21	0.263	-1.2115	0.2641
1584.9	-1.25	0.226	-1.2483	0.22644
1258.9	-1.28	0.19	-1.2808	0.18946
1000	-1.31	0.153	-1.3104	0.15217
794.33	-1.34	0.113	-1.3376	0.11278
630.96	-1.36	0.0689	-1.3623	0.068796
501.19	-1.38	0.0169	-1.383	0.017642
398.11	-1.4	-0.0433	-1.3968	-0.042446
316.23	-1.4	-0.113	-1.4	-0.11195
251.19	-1.39	-0.19	-1.389	-0.19005
199.53	-1.36	-0.274	-1.3602	-0.27476
158.49	-1.31	-0.362	-1.3106	-0.36267
125.89	-1.24	-0.447	-1.2375	-0.44863
100	-1.14	-0.524	-1.1409	-0.52589
79.433	-1.02	-0.587	-1.0235	-0.58725
63.096	-0.893	-0.627	-0.89119	-0.62671
50.119	-0.75	-0.642	-0.75199	-0.64093
39.811	-0.615	-0.631	-0.61462	-0.62973
31.623	-0.487	-0.597	-0.48711	-0.59595
25.119	-0.376	-0.546	-0.37568	-0.54494
19.953	-0.284	-0.484	-0.28378	-0.48359
15.849	-0.212	-0.419	-0.21172	-0.41875
12.589	-0.158	-0.356	-0.15739	-0.35584
10	-0.118	-0.298	-0.11747	-0.29824
7.9433	-0.0886	-0.247	-0.088584	-0.24747
6.3096	-0.0679	-0.204	-0.067874	-0.20384
5.0119	-0.0529	-0.167	-0.053124	-0.16703
3.9811	-0.0433	-0.136	-0.042622	-0.13643
3.1623	-0.0355	-0.111	-0.035069	-0.11126
2.5119	-0.0295	-0.0904	-0.029534	-0.090662
1.9953	-0.0255	-0.0735	-0.025397	-0.073841
1.5849	-0.0224	-0.0596	-0.022269	-0.060105
1.2589	-0.0201	-0.0483	-0.019894	-0.0489
1	-0.0182	-0.0391	-0.018082	-0.039782
0.79433	-0.0168	-0.0318	-0.016684	-0.03238
0.63096	-0.0156	-0.0258	-0.015588	-0.026381
0.50119	-0.0147	-0.021	-0.014719	-0.021523
0.39811	-0.014	-0.0171	-0.014021	-0.0176
0.31623	-0.0134	-0.0139	-0.013447	-0.014445
0.25119	-0.0129	-0.0113	-0.01295	-0.011917
0.19953	-0.0124	-0.00924	-0.012488	-0.0098881
0.15849	-0.012	-0.00753	-0.012037	-0.0082346
0.12589	-0.0116	-0.00617	-0.011598	-0.006848
0.1	-0.0112	-0.00506	-0.011196	-0.005646
0.07943	-0.0108	-0.00417	-0.010868	-0.0045831
0.0631	-0.0103	-0.00348	-0.010638	-0.0036508
0.05012	-0.00989	-0.00288	-0.01051	-0.0028566
0.05	-0.00975	-0.00286	-0.010509	-0.0028491
